LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
2.4,5.97E+00
2.404,5.48E+00
2.408,5.48E+00
2.412,5.97E+00
2.416,5.97E+00
2.42,5.24E+00
2.424,5.48E+00
2.428,6.21E+00
2.432,6.21E+00
2.436,5.48E+00
2.44,5.48E+00
2.444,6.21E+00
2.448,6.21E+00
2.452,5.48E+00
2.456,5.72E+00
2.46,6.21E+00
2.464,6.21E+00
2.468,5.97E+00
2.472,5.97E+00
2.476,6.46E+00
2.48,7.19E+00
2.484,7.43E+00
2.488,7.43E+00
2.492,7.92E+00
2.496,8.41E+00
2.5,8.17E+00
2.504,7.68E+00
2.508,7.68E+00
2.512,9.39E+00
2.516,1.40E+01
2.52,2.28E+01
2.524,3.65E+01
2.528,5.31E+01
2.532,6.51E+01
2.536,7.12E+01
2.54,7.48E+01
2.544,7.77E+01
2.548,7.90E+01
2.552,7.90E+01
2.556,7.92E+01
2.56,7.97E+01
2.564,7.87E+01
2.568,7.73E+01
2.572,7.58E+01
2.576,7.48E+01
2.58,7.36E+01
2.584,7.21E+01
2.588,6.99E+01
2.592,6.80E+01
2.596,6.51E+01
2.6,5.99E+01
2.604,5.04E+01
2.608,3.99E+01
2.612,3.21E+01
2.616,2.45E+01
2.62,1.77E+01
2.624,1.26E+01
2.628,9.14E+00
2.632,5.97E+00
2.636,3.28E+00
2.64,2.79E+00
2.644,3.53E+00
2.648,3.53E+00
2.652,3.28E+00
2.656,3.28E+00
2.66,4.01E+00
2.664,4.26E+00
2.668,3.77E+00
2.672,3.77E+00
2.676,3.77E+00
2.68,4.01E+00
2.684,4.01E+00
2.688,3.77E+00
2.692,4.01E+00
2.696,4.50E+00
2.7,4.26E+00
2.704,4.01E+00
2.708,4.26E+00
2.712,4.75E+00
2.716,4.75E+00
2.72,4.01E+00
2.724,4.50E+00
2.728,4.99E+00
2.732,4.99E+00
2.736,4.26E+00
2.74,4.50E+00
2.744,5.24E+00
2.748,5.24E+00
2.752,4.50E+00
2.756,4.75E+00
2.76,5.24E+00
2.764,5.48E+00
2.768,5.24E+00
2.772,4.99E+00
2.776,5.48E+00
2.78,5.72E+00
2.784,5.48E+00
2.788,5.24E+00
2.792,5.48E+00
2.796,5.97E+00
2.8,5.72E+00
2.804,5.48E+00
2.808,5.48E+00
2.812,6.21E+00
2.816,5.97E+00
2.82,5.48E+00
2.824,5.72E+00
2.828,6.46E+00
2.832,6.21E+00
2.836,5.48E+00
2.84,5.72E+00
2.844,6.46E+00
2.848,6.46E+00
2.852,5.72E+00
2.856,5.97E+00
2.86,6.46E+00
2.864,6.46E+00
2.868,6.21E+00
2.872,5.97E+00
2.876,6.46E+00
2.88,6.70E+00
2.884,6.46E+00
2.888,6.21E+00
2.892,6.46E+00
2.896,7.19E+00
2.9,7.19E+00
2.904,7.19E+00
2.908,7.68E+00
2.912,8.65E+00
2.916,8.65E+00
2.92,8.41E+00
2.924,8.65E+00
2.928,9.14E+00
2.932,8.90E+00
2.936,8.65E+00
2.94,1.09E+01
2.944,1.87E+01
2.948,2.96E+01
2.952,4.41E+01
2.956,5.87E+01
2.96,6.87E+01
2.964,7.38E+01
2.968,7.65E+01
2.972,7.80E+01
2.976,7.92E+01
2.98,7.99E+01
2.984,7.97E+01
2.988,7.90E+01
2.992,7.80E+01
2.996,7.73E+01
3,7.58E+01
3.004,7.41E+01
3.008,7.26E+01
3.012,7.14E+01
3.016,6.94E+01
3.02,6.65E+01
3.024,6.24E+01
3.028,5.72E+01
3.032,4.58E+01
3.036,3.60E+01
3.04,2.84E+01
3.044,2.23E+01
3.048,1.62E+01
3.052,1.09E+01
3.056,7.43E+00
3.06,5.48E+00
3.064,4.01E+00
3.068,3.28E+00
3.072,3.28E+00
3.076,3.77E+00
3.08,4.26E+00
3.084,4.26E+00
3.088,3.77E+00
3.092,4.01E+00
3.096,4.50E+00
3.1,4.26E+00
3.104,3.77E+00
3.108,3.77E+00
3.112,4.50E+00
3.116,4.26E+00
3.12,3.77E+00
3.124,4.01E+00
3.128,4.75E+00
3.132,4.75E+00
3.136,4.01E+00
3.14,4.26E+00
3.144,4.99E+00
3.148,4.99E+00
3.152,4.50E+00
3.156,4.50E+00
3.16,5.24E+00
3.164,5.24E+00
3.168,4.75E+00
3.172,4.75E+00
3.176,5.24E+00
3.18,5.48E+00
3.184,5.24E+00
3.188,4.99E+00
3.192,5.24E+00
3.196,5.72E+00
3.2,5.48E+00
3.204,4.99E+00
3.208,5.24E+00
3.212,5.72E+00
3.216,5.48E+00
3.22,5.24E+00
3.224,5.24E+00
3.228,5.97E+00
3.232,5.72E+00
3.236,5.24E+00
3.24,5.48E+00
3.244,5.97E+00
3.248,5.97E+00
3.252,5.24E+00
3.256,5.48E+00
3.26,5.97E+00
3.264,5.97E+00
3.268,5.48E+00
3.272,5.48E+00
3.276,5.72E+00
3.28,5.97E+00
3.284,5.97E+00
3.288,5.48E+00
3.292,5.72E+00
3.296,6.21E+00
3.3,5.97E+00
3.304,5.48E+00
3.308,5.72E+00
3.312,6.21E+00
3.316,6.21E+00
3.32,5.48E+00
3.324,5.72E+00
3.328,6.46E+00
3.332,6.21E+00
3.336,5.97E+00
3.34,6.46E+00
3.344,7.43E+00
3.348,7.68E+00
3.352,7.43E+00
3.356,7.68E+00
3.36,8.41E+00
3.364,8.41E+00
3.368,7.92E+00
3.372,7.68E+00
3.376,9.14E+00
3.38,1.45E+01
3.384,2.40E+01
3.388,3.72E+01
3.392,5.33E+01
3.396,6.53E+01
3.4,7.14E+01
3.404,7.46E+01
3.408,7.70E+01
3.412,7.87E+01
3.416,7.92E+01
3.42,7.87E+01
3.424,7.87E+01
3.428,7.85E+01
3.432,7.70E+01
3.436,7.51E+01
3.44,7.38E+01
3.444,7.31E+01
3.448,7.14E+01
3.452,6.90E+01
3.456,6.70E+01
3.46,6.38E+01
3.464,5.89E+01
3.468,4.97E+01
3.472,3.89E+01
3.476,3.11E+01
3.48,2.40E+01
3.484,1.77E+01
3.488,1.23E+01
3.492,8.41E+00
3.496,5.72E+00
3.5,3.77E+00
3.504,2.79E+00
3.508,3.04E+00
3.512,3.77E+00
3.516,3.77E+00
3.52,3.28E+00
3.524,3.53E+00
3.528,4.26E+00
3.532,4.01E+00
3.536,3.28E+00
3.54,3.53E+00
3.544,4.26E+00
3.548,4.26E+00
3.552,3.77E+00
3.556,3.77E+00
3.56,4.50E+00
3.564,4.50E+00
3.568,4.01E+00
3.572,4.01E+00
3.576,4.50E+00
3.58,4.75E+00
3.584,4.50E+00
3.588,4.50E+00
3.592,4.75E+00
3.596,5.24E+00
3.6,4.99E+00
3.604,4.75E+00
3.608,4.99E+00
3.612,5.48E+00
3.616,5.24E+00
3.62,4.99E+00
3.624,5.24E+00
3.628,5.72E+00
3.632,5.72E+00
3.636,4.99E+00
3.64,5.24E+00
3.644,5.97E+00
3.648,5.97E+00
3.652,5.24E+00
3.656,5.48E+00
3.66,6.21E+00
3.664,6.21E+00
3.668,5.72E+00
3.672,5.72E+00
3.676,6.21E+00
3.68,6.21E+00
3.684,5.97E+00
3.688,5.72E+00
3.692,5.97E+00
3.696,6.46E+00
3.7,6.46E+00
3.704,5.97E+00
3.708,6.21E+00
3.712,6.70E+00
3.716,6.46E+00
3.72,6.21E+00
3.724,6.21E+00
3.728,6.94E+00
3.732,6.70E+00
3.736,6.21E+00
3.74,6.21E+00
3.744,6.94E+00
3.748,6.94E+00
3.752,6.21E+00
3.756,6.46E+00
3.76,7.43E+00
3.764,7.43E+00
3.768,7.43E+00
3.772,7.68E+00
3.776,8.41E+00
3.78,8.90E+00
3.784,8.90E+00
3.788,8.65E+00
3.792,8.90E+00
3.796,9.14E+00
3.8,9.14E+00
3.804,1.06E+01
3.808,1.72E+01
3.812,2.82E+01
3.816,4.23E+01
3.82,5.65E+01
3.824,6.70E+01
3.828,7.29E+01
3.832,7.60E+01
3.836,7.73E+01
3.84,7.85E+01
3.844,7.97E+01
3.848,7.97E+01
3.852,7.85E+01
