LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
3.528,5.24E+00
3.532,5.24E+00
3.536,4.99E+00
3.54,5.24E+00
3.544,5.72E+00
3.548,5.97E+00
3.552,5.48E+00
3.556,6.21E+00
3.56,7.19E+00
3.564,7.43E+00
3.568,7.19E+00
3.572,7.43E+00
3.576,7.92E+00
3.58,7.68E+00
3.584,7.92E+00
3.588,1.06E+01
3.592,2.16E+01
3.596,4.04E+01
3.6,6.21E+01
3.604,7.77E+01
3.608,8.46E+01
3.612,8.70E+01
3.616,8.73E+01
3.62,8.68E+01
3.624,8.63E+01
3.628,8.48E+01
3.632,8.29E+01
3.636,7.99E+01
3.64,7.60E+01
3.644,6.82E+01
3.648,5.36E+01
3.652,3.60E+01
3.656,2.18E+01
3.66,1.35E+01
3.664,8.17E+00
3.668,4.75E+00
3.672,4.01E+00
3.676,4.50E+00
3.68,4.99E+00
3.684,4.99E+00
3.688,5.24E+00
3.692,5.48E+00
3.696,5.48E+00
3.7,5.72E+00
3.704,5.48E+00
3.708,5.97E+00
3.712,6.94E+00
3.716,7.19E+00
3.72,7.19E+00
3.724,7.43E+00
3.728,7.92E+00
3.732,7.92E+00
3.736,7.43E+00
3.74,8.65E+00
3.744,1.45E+01
3.748,2.94E+01
3.752,4.97E+01
3.756,6.99E+01
3.76,8.21E+01
3.764,8.60E+01
3.768,8.68E+01
3.772,8.70E+01
3.776,8.70E+01
3.78,8.58E+01
3.784,8.36E+01
3.788,8.14E+01
3.792,7.87E+01
3.796,7.36E+01
3.8,6.24E+01
3.804,4.60E+01
3.808,2.96E+01
3.812,1.79E+01
3.816,1.06E+01
3.82,6.21E+00
3.824,4.50E+00
3.828,4.50E+00
3.832,4.75E+00
3.836,4.75E+00
3.84,4.99E+00
3.844,5.72E+00
3.848,5.72E+00
3.852,4.99E+00
3.856,5.48E+00
3.86,6.46E+00
3.864,6.46E+00
3.868,6.70E+00
3.872,6.94E+00
3.876,7.68E+00
3.88,7.68E+00
3.884,7.43E+00
3.888,7.43E+00
3.892,7.92E+00
3.896,1.13E+01
3.9,2.21E+01
3.904,4.04E+01
3.908,6.21E+01
3.912,7.80E+01
3.916,8.46E+01
3.92,8.63E+01
3.924,8.68E+01
3.928,8.70E+01
3.932,8.60E+01
3.936,8.41E+01
3.94,8.21E+01
3.944,8.02E+01
3.948,7.60E+01
3.952,6.70E+01
3.956,5.26E+01
3.96,3.62E+01
3.964,2.21E+01
3.968,1.26E+01
3.972,7.68E+00
3.976,5.48E+00
3.98,4.50E+00
3.984,4.26E+00
3.988,4.75E+00
3.992,4.99E+00
3.996,5.48E+00
4,5.48E+00
4.004,5.24E+00
4.008,5.48E+00
4.012,5.97E+00
4.016,6.21E+00
4.02,6.46E+00
4.024,6.94E+00
4.028,7.68E+00
4.032,7.68E+00
4.036,7.43E+00
4.04,7.43E+00
4.044,8.17E+00
4.048,9.39E+00
4.052,1.48E+01
4.056,3.04E+01
4.06,5.21E+01
4.064,7.14E+01
4.068,8.17E+01
4.072,8.56E+01
4.076,8.70E+01
4.08,8.70E+01
4.084,8.63E+01
,
