LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
3.2,5.48E+00
3.204,5.24E+00
3.208,5.72E+00
3.212,6.21E+00
3.216,5.97E+00
3.22,5.97E+00
3.224,6.70E+00
3.228,7.92E+00
3.232,8.65E+00
3.236,8.90E+00
3.24,9.63E+00
3.244,1.04E+01
3.248,1.06E+01
3.252,1.01E+01
3.256,1.01E+01
3.26,1.11E+01
3.264,1.33E+01
3.268,1.96E+01
3.272,3.38E+01
3.276,5.36E+01
3.28,7.60E+01
3.284,8.87E+01
3.288,9.19E+01
3.292,9.34E+01
3.296,9.53E+01
3.3,9.65E+01
3.304,9.70E+01
3.308,9.80E+01
3.312,9.83E+01
3.316,9.80E+01
3.32,9.78E+01
3.324,9.78E+01
3.328,9.87E+01
3.332,9.87E+01
3.336,9.85E+01
3.34,9.83E+01
3.344,9.75E+01
3.348,9.41E+01
3.352,8.75E+01
3.356,7.51E+01
3.36,5.70E+01
3.364,4.53E+01
3.368,3.43E+01
3.372,2.57E+01
3.376,1.92E+01
3.38,1.33E+01
3.384,8.17E+00
3.388,4.99E+00
3.392,3.77E+00
3.396,3.28E+00
3.4,2.79E+00
3.404,2.79E+00
3.408,3.28E+00
3.412,3.77E+00
3.416,3.77E+00
3.42,3.77E+00
3.424,3.77E+00
3.428,4.26E+00
3.432,4.26E+00
3.436,3.77E+00
3.44,4.01E+00
3.444,4.75E+00
3.448,4.75E+00
3.452,4.26E+00
3.456,4.26E+00
3.46,4.99E+00
3.464,4.99E+00
3.468,4.75E+00
3.472,4.99E+00
3.476,6.21E+00
3.48,6.94E+00
3.484,7.19E+00
3.488,7.92E+00
3.492,8.65E+00
3.496,9.14E+00
3.5,8.90E+00
3.504,8.65E+00
3.508,8.90E+00
3.512,1.09E+01
3.516,1.70E+01
3.52,3.01E+01
3.524,4.94E+01
3.528,7.21E+01
3.532,8.75E+01
3.536,9.09E+01
3.54,9.19E+01
3.544,9.46E+01
3.548,9.61E+01
3.552,9.65E+01
3.556,9.73E+01
3.56,9.80E+01
3.564,9.78E+01
3.568,9.73E+01
3.572,9.78E+01
3.576,9.85E+01
3.58,9.87E+01
3.584,9.83E+01
3.588,9.80E+01
3.592,9.73E+01
3.596,9.43E+01
3.6,8.85E+01
3.604,7.73E+01
3.608,5.80E+01
3.612,4.60E+01
3.616,3.53E+01
3.62,2.62E+01
3.624,1.89E+01
3.628,1.33E+01
3.632,8.17E+00
3.636,4.50E+00
3.64,2.79E+00
3.644,2.31E+00
3.648,2.06E+00
3.652,1.82E+00
3.656,2.06E+00
3.66,2.79E+00
3.664,2.79E+00
3.668,2.31E+00
3.672,2.79E+00
3.676,3.53E+00
3.68,3.53E+00
3.684,3.04E+00
3.688,3.04E+00
3.692,3.53E+00
3.696,3.53E+00
3.7,3.28E+00
3.704,3.28E+00
3.708,3.77E+00
3.712,4.01E+00
3.716,4.01E+00
3.72,4.26E+00
3.724,4.99E+00
3.728,5.97E+00
3.732,6.46E+00
3.736,6.46E+00
3.74,6.94E+00
3.744,7.68E+00
3.748,7.68E+00
3.752,6.70E+00
3.756,7.43E+00
3.76,1.13E+01
3.764,2.06E+01
3.768,3.45E+01
3.772,5.43E+01
3.776,7.68E+01
3.78,8.75E+01
3.784,8.95E+01
3.788,9.09E+01
3.792,9.29E+01
3.796,9.39E+01
3.8,9.46E+01
3.804,9.46E+01
3.808,9.48E+01
3.812,9.51E+01
3.816,9.46E+01
3.82,9.41E+01
3.824,9.43E+01
3.828,9.46E+01
3.832,9.41E+01
3.836,9.24E+01
3.84,8.97E+01
3.844,8.48E+01
3.848,7.41E+01
3.852,5.55E+01
3.856,4.43E+01
3.86,3.50E+01
3.864,2.62E+01
3.868,1.84E+01
3.872,1.23E+01
3.876,8.41E+00
3.88,4.99E+00
3.884,2.06E+00
3.888,1.09E+00
3.892,1.09E+00
3.896,1.09E+00
3.9,1.09E+00
3.904,1.33E+00
3.908,1.82E+00
3.912,2.31E+00
3.916,2.31E+00
3.92,2.06E+00
3.924,2.31E+00
3.928,2.79E+00
3.932,2.55E+00
3.936,2.31E+00
3.94,2.55E+00
3.944,3.04E+00
3.948,3.04E+00
3.952,2.55E+00
3.956,3.04E+00
3.96,3.77E+00
3.964,4.26E+00
3.968,4.26E+00
3.972,4.99E+00
3.976,6.46E+00
3.98,6.94E+00
3.984,7.19E+00
3.988,7.68E+00
3.992,8.41E+00
3.996,8.65E+00
4,1.01E+01
4.004,1.48E+01
4.008,2.55E+01
4.012,4.16E+01
4.016,6.09E+01
4.02,7.92E+01
4.024,8.70E+01
4.028,8.97E+01
4.032,9.07E+01
4.036,9.14E+01
4.04,9.24E+01
4.044,9.31E+01
4.048,9.34E+01
4.052,9.26E+01
4.056,9.21E+01
4.06,9.24E+01
4.064,9.21E+01
4.068,9.12E+01
4.072,9.07E+01
4.076,8.97E+01
4.08,8.63E+01
4.084,8.02E+01
4.088,6.87E+01
